time,players
2024-12-13 00:00:00,23333767
2024-12-13 00:10:00,23296437
2024-12-13 00:20:00,23288659
2024-12-13 00:30:00,23339061
2024-12-13 00:40:00,23414174
2024-12-13 00:50:00,23483819
2024-12-13 01:00:00,23574518
2024-12-13 01:10:00,23657836
2024-12-13 01:20:00,23727099
2024-12-13 01:30:00,23830385
2024-12-13 01:40:00,23907570
2024-12-13 01:50:00,24004171
2024-12-13 02:00:00,24083565
2024-12-13 02:10:00,24175694
2024-12-13 02:20:00,24277669
2024-12-13 02:30:00,24245991
2024-12-13 02:40:00,24326088
2024-12-13 02:50:00,24351746
2024-12-13 03:00:00,24359902
2024-12-13 03:10:00,24334783
2024-12-13 03:20:00,24317292
2024-12-13 03:30:00,24281327
2024-12-13 03:40:00,24268137
2024-12-13 03:50:00,24298411
2024-12-13 04:00:00,24313930
2024-12-13 04:10:00,24296060
2024-12-13 04:20:00,24348401
2024-12-13 04:30:00,24404014
2024-12-13 04:40:00,24412244
2024-12-13 04:50:00,24385197
2024-12-13 05:00:00,24309329
2024-12-13 05:10:00,23973615
2024-12-13 05:20:00,23888834
2024-12-13 05:30:00,23801684
2024-12-13 05:40:00,23464459
2024-12-13 05:50:00,23388902
2024-12-13 06:00:00,23367462
2024-12-13 06:10:00,23264462
2024-12-13 06:20:00,23273292
2024-12-13 06:30:00,23267848
2024-12-13 06:40:00,23204227
2024-12-13 06:50:00,23272212
2024-12-13 07:00:00,23300311
2024-12-13 07:10:00,23356479
2024-12-13 07:20:00,23444120
2024-12-13 07:30:00,23512339
2024-12-13 07:40:00,23625145
2024-12-13 07:50:00,23772826
2024-12-13 08:00:00,23923904
2024-12-13 08:10:00,24085705
2024-12-13 08:20:00,24244433
2024-12-13 08:30:00,24424242
2024-12-13 08:40:00,24572220
2024-12-13 08:50:00,24735728
2024-12-13 09:00:00,24874525
2024-12-13 09:10:00,24957571
2024-12-13 09:20:00,25150298
2024-12-13 09:30:00,25329541
2024-12-13 09:40:00,25569921
2024-12-13 09:50:00,25834148
2024-12-13 10:00:00,26069633
2024-12-13 10:10:00,26360486
2024-12-13 10:20:00,26713961
2024-12-13 10:30:00,27071474
2024-12-13 10:40:00,27467386
2024-12-13 10:50:00,27805035
2024-12-13 11:00:00,28209478
2024-12-13 11:10:00,28628133
2024-12-13 11:20:00,29059686
2024-12-13 11:30:00,29505134
2024-12-13 11:40:00,29923348
2024-12-13 11:50:00,30411314
2024-12-13 12:00:00,30831805
2024-12-13 12:10:00,31238692
2024-12-13 12:20:00,31692604
2024-12-13 12:30:00,32154172
2024-12-13 12:40:00,32491996
2024-12-13 12:50:00,32932361
2024-12-13 13:00:00,33346880
2024-12-13 13:10:00,33749258
2024-12-13 13:20:00,34145677
2024-12-13 13:30:00,34504724
2024-12-13 13:40:00,34801777
2024-12-13 13:50:00,35099227
2024-12-13 14:00:00,35277209
2024-12-13 14:10:00,35474011
2024-12-13 14:20:00,35567390
2024-12-13 14:30:00,35685763
2024-12-13 14:40:00,35729036
2024-12-13 14:50:00,35715782
2024-12-13 15:00:00,35604822
2024-12-13 15:10:00,35390216
2024-12-13 15:20:00,35212609
2024-12-13 15:30:00,34918322
2024-12-13 15:40:00,34649295
2024-12-13 15:50:00,34380904
2024-12-13 16:00:00,34056217
2024-12-13 16:10:00,33610199
2024-12-13 16:20:00,33313035
2024-12-13 16:30:00,33014774
2024-12-13 16:40:00,32723945
2024-12-13 16:50:00,32476205
2024-12-13 17:00:00,32242490
2024-12-13 17:10:00,31956582
2024-12-13 17:20:00,31761707
2024-12-13 17:30:00,31580581
2024-12-13 17:40:00,31425246
2024-12-13 17:50:00,31277027
2024-12-13 18:00:00,31133328
2024-12-13 18:10:00,30965138
2024-12-13 18:20:00,30846785
2024-12-13 18:30:00,30740498
2024-12-13 18:40:00,30631329
2024-12-13 18:50:00,30539574
2024-12-13 19:00:00,30434834
2024-12-13 19:10:00,30340096
2024-12-13 19:20:00,30242870
2024-12-13 19:30:00,30148551
2024-12-13 19:40:00,30063642
2024-12-13 19:50:00,29993900
2024-12-13 20:00:00,29907699
2024-12-13 20:10:00,29752432
2024-12-13 20:20:00,29659570
2024-12-13 20:30:00,29541087
2024-12-13 20:40:00,29408416
2024-12-13 20:50:00,29300475
2024-12-13 21:00:00,29149177
2024-12-13 21:10:00,28927375
2024-12-13 21:20:00,28737311
2024-12-13 21:30:00,28553116
2024-12-13 21:40:00,28355817
2024-12-13 21:50:00,28158278
2024-12-13 22:00:00,27925366
2024-12-13 22:10:00,27644356
2024-12-13 22:20:00,27392045
2024-12-13 22:30:00,27138484
2024-12-13 22:40:00,26900782
2024-12-13 22:50:00,26658199
2024-12-13 23:00:00,26398798
2024-12-13 23:10:00,26075534
2024-12-13 23:20:00,25827145
2024-12-13 23:30:00,25608704
2024-12-13 23:40:00,25421696
2024-12-13 23:50:00,25249157
2024-12-14 00:00:00,25098920
2024-12-14 00:10:00,24954602
2024-12-14 00:20:00,24866782
2024-12-14 00:30:00,24803660
2024-12-14 00:40:00,24751428
2024-12-14 00:50:00,24743279
2024-12-14 01:00:00,24766481
2024-12-14 01:10:00,24792469
2024-12-14 01:20:00,24854252
2024-12-14 01:30:00,24943759
2024-12-14 01:40:00,25038302
2024-12-14 01:50:00,25134859
2024-12-14 02:00:00,25232328
2024-12-14 02:10:00,25357753
2024-12-14 02:20:00,25484922
2024-12-14 02:30:00,25608469
2024-12-14 02:40:00,25739702
2024-12-14 02:50:00,25865078
2024-12-14 03:00:00,25962634
2024-12-14 03:10:00,26052956
2024-12-14 03:20:00,26141547
2024-12-14 03:30:00,26230284
2024-12-14 03:40:00,26419991
2024-12-14 03:50:00,26592677
2024-12-14 04:00:00,26742956
2024-12-14 04:10:00,26878699
2024-12-14 04:20:00,27040197
2024-12-14 04:30:00,27176343
2024-12-14 04:40:00,27282710
2024-12-14 04:50:00,27376357
2024-12-14 05:00:00,27409108
2024-12-14 05:10:00,27447918
2024-12-14 05:20:00,27501830
2024-12-14 05:30:00,27544987
2024-12-14 05:40:00,27572688
2024-12-14 05:50:00,27601227
2024-12-14 06:00:00,27562949
2024-12-14 06:10:00,27617304
2024-12-14 06:20:00,27665654
2024-12-14 06:30:00,27686676
2024-12-14 06:40:00,27725946
2024-12-14 06:50:00,27747679
2024-12-14 07:00:00,27788183
2024-12-14 07:10:00,27835833
2024-12-14 07:20:00,27923522
2024-12-14 07:30:00,28024202
2024-12-14 07:40:00,28136921
2024-12-14 07:50:00,28243810
2024-12-14 08:00:00,28321948
2024-12-14 08:10:00,28455970
2024-12-14 08:20:00,28605077
2024-12-14 08:30:00,28766909
2024-12-14 08:40:00,28920668
2024-12-14 08:50:00,29080239
2024-12-14 09:00:00,29257921
2024-12-14 09:10:00,29406894
2024-12-14 09:20:00,29578878
2024-12-14 09:30:00,29768521
2024-12-14 09:40:00,30006920
2024-12-14 09:50:00,30266429
2024-12-14 10:00:00,30482326
2024-12-14 10:10:00,30747451
2024-12-14 10:20:00,31059393
2024-12-14 10:30:00,31385658
2024-12-14 10:40:00,31708788
2024-12-14 10:50:00,32067269
2024-12-14 11:00:00,32391645
2024-12-14 11:10:00,32729835
2024-12-14 11:20:00,33154503
2024-12-14 11:30:00,33552606
2024-12-14 11:40:00,33951055
2024-12-14 11:50:00,34326429
2024-12-14 12:00:00,34705261
2024-12-14 12:10:00,35037398
2024-12-14 12:20:00,35418122
2024-12-14 12:30:00,35778373
2024-12-14 12:40:00,36183253
2024-12-14 12:50:00,36549469
2024-12-14 13:00:00,36855900
2024-12-14 13:10:00,37164670
2024-12-14 13:20:00,37471172
2024-12-14 13:30:00,37754262
2024-12-14 13:40:00,37999603
2024-12-14 13:50:00,38218200
2024-12-14 14:00:00,38353284
2024-12-14 14:10:00,38471481
2024-12-14 14:20:00,38582209
2024-12-14 14:30:00,38622427
2024-12-14 14:40:00,38638865
2024-12-14 14:50:00,38609070
2024-12-14 15:00:00,38500214
2024-12-14 15:10:00,38295736
2024-12-14 15:20:00,38134362
2024-12-14 15:30:00,37904155
2024-12-14 15:40:00,37655202
2024-12-14 15:50:00,37398693
2024-12-14 16:00:00,37077471
2024-12-14 16:10:00,36651601
2024-12-14 16:20:00,36300620
2024-12-14 16:30:00,35973338
2024-12-14 16:40:00,35674505
2024-12-14 16:50:00,35291666
2024-12-14 17:00:00,35064972
2024-12-14 17:10:00,34748235
2024-12-14 17:20:00,34503208
2024-12-14 17:30:00,34270617
2024-12-14 17:40:00,34086666
2024-12-14 17:50:00,33870010
2024-12-14 18:00:00,33687469
2024-12-14 18:10:00,33468286
2024-12-14 18:20:00,33296733
2024-12-14 18:30:00,33140953
2024-12-14 18:40:00,33008186
2024-12-14 18:50:00,32881628
2024-12-14 19:00:00,32730075
2024-12-14 19:10:00,32586406
2024-12-14 19:20:00,32464107
2024-12-14 19:30:00,32339331
2024-12-14 19:40:00,32245318
2024-12-14 19:50:00,32140814
2024-12-14 20:00:00,32001202
2024-12-14 20:10:00,31856237
2024-12-14 20:20:00,31738594
2024-12-14 20:30:00,31601570
2024-12-14 20:40:00,31450519
2024-12-14 20:50:00,31307039
2024-12-14 21:00:00,31112241
2024-12-14 21:10:00,30906434
2024-12-14 21:20:00,30709835
2024-12-14 21:30:00,30484377
2024-12-14 21:40:00,30274992
2024-12-14 21:50:00,30034151
2024-12-14 22:00:00,29761413
2024-12-14 22:10:00,29475874
2024-12-14 22:20:00,29168914
2024-12-14 22:30:00,28901029
2024-12-14 22:40:00,28625350
2024-12-14 22:50:00,28321951
2024-12-14 23:00:00,28017665
2024-12-14 23:10:00,27661630
2024-12-14 23:20:00,27394635
2024-12-14 23:30:00,27149047
2024-12-14 23:40:00,26888698
2024-12-14 23:50:00,26671514
2024-12-15 00:00:00,26460127
2024-12-15 00:10:00,26268118
2024-12-15 00:20:00,26105029
2024-12-15 00:30:00,25986349
2024-12-15 00:40:00,25874938
2024-12-15 00:50:00,25814297
2024-12-15 01:00:00,25774415
2024-12-15 01:10:00,25761710
2024-12-15 01:20:00,25791243
2024-12-15 01:30:00,25859016
2024-12-15 01:40:00,25935438
2024-12-15 01:50:00,26033748
2024-12-15 02:00:00,26138399
2024-12-15 02:10:00,26238198
2024-12-15 02:20:00,26381036
2024-12-15 02:30:00,26508866
2024-12-15 02:40:00,26661169
2024-12-15 02:50:00,26786824
2024-12-15 03:00:00,26900136
2024-12-15 03:10:00,27007595
2024-12-15 03:20:00,27124983
2024-12-15 03:30:00,27247993
2024-12-15 03:40:00,27356862
2024-12-15 03:50:00,27485938
2024-12-15 04:00:00,27587627
2024-12-15 04:10:00,27701616
2024-12-15 04:20:00,27821087
2024-12-15 04:30:00,27966760
2024-12-15 04:40:00,28081885
2024-12-15 04:50:00,28192540
2024-12-15 05:00:00,28257549
2024-12-15 05:10:00,28333475
2024-12-15 05:20:00,28426883
2024-12-15 05:30:00,28518036
2024-12-15 05:40:00,28578886
2024-12-15 05:50:00,28661725
2024-12-15 06:00:00,28702426
2024-12-15 06:10:00,28748910
2024-12-15 06:20:00,28806310
2024-12-15 06:30:00,28873415
2024-12-15 06:40:00,28923103
2024-12-15 06:50:00,29001803
2024-12-15 07:00:00,29063237
2024-12-15 07:10:00,29130991
2024-12-15 07:20:00,29241382
2024-12-15 07:30:00,29355817
2024-12-15 07:40:00,29472708
2024-12-15 07:50:00,29597795
2024-12-15 08:00:00,29743239
2024-12-15 08:10:00,29882216
2024-12-15 08:20:00,30045964
2024-12-15 08:30:00,30213173
2024-12-15 08:40:00,30400300
2024-12-15 08:50:00,30560369
2024-12-15 09:00:00,30730812
2024-12-15 09:10:00,30892988
2024-12-15 09:20:00,31092819
2024-12-15 09:30:00,31301522
2024-12-15 09:40:00,31500200
2024-12-15 09:50:00,31710291
2024-12-15 10:00:00,31932257
2024-12-15 10:10:00,32169920
2024-12-15 10:20:00,32466399
2024-12-15 10:30:00,32759046
2024-12-15 10:40:00,33054688
2024-12-15 10:50:00,33375542
2024-12-15 11:00:00,33697028
2024-12-15 11:10:00,34018629
2024-12-15 11:20:00,34398560
2024-12-15 11:30:00,34786522
2024-12-15 11:40:00,35159050
2024-12-15 11:50:00,35518464
2024-12-15 12:00:00,35889689
2024-12-15 12:10:00,36252202
2024-12-15 12:20:00,36612674
2024-12-15 12:30:00,36997409
2024-12-15 12:40:00,37375099
2024-12-15 12:50:00,37790956
2024-12-15 13:00:00,38086299
2024-12-15 13:10:00,38403198
2024-12-15 13:20:00,38698338
2024-12-15 13:30:00,38946463
2024-12-15 13:40:00,39136570
2024-12-15 13:50:00,39267755
2024-12-15 14:00:00,39319632
2024-12-15 14:10:00,39312152
2024-12-15 14:20:00,39309463
2024-12-15 14:30:00,39226888
2024-12-15 14:40:00,39084548
2024-12-15 14:50:00,38859040
2024-12-15 15:00:00,38517107
2024-12-15 15:10:00,38045478
2024-12-15 15:20:00,37658069
2024-12-15 15:30:00,37316350
2024-12-15 15:40:00,36884579
2024-12-15 15:50:00,36544638
2024-12-15 16:00:00,36170723
2024-12-15 16:10:00,35685369
2024-12-15 16:20:00,35350609
2024-12-15 16:30:00,35060158
2024-12-15 16:40:00,34816384
2024-12-15 16:50:00,34597319
2024-12-15 17:00:00,34392884
2024-12-15 17:10:00,34195057
2024-12-15 17:20:00,34038162
2024-12-15 17:30:00,33908670
2024-12-15 17:40:00,33813986
2024-12-15 17:50:00,33719185
2024-12-15 18:00:00,33635712
2024-12-15 18:10:00,33516208
2024-12-15 18:20:00,33439885
2024-12-15 18:30:00,33360443
2024-12-15 18:40:00,33256856
2024-12-15 18:50:00,33174066
2024-12-15 19:00:00,33101262
2024-12-15 19:10:00,32980088
2024-12-15 19:20:00,32869882
2024-12-15 19:30:00,32744930
2024-12-15 19:40:00,32640362
2024-12-15 19:50:00,32503988
2024-12-15 20:00:00,32343060
2024-12-15 20:10:00,32105290
2024-12-15 20:20:00,31904387
2024-12-15 20:30:00,31688981
2024-12-15 20:40:00,31414446
2024-12-15 20:50:00,31142922
2024-12-15 21:00:00,30841206
2024-12-15 21:10:00,30422419
2024-12-15 21:20:00,30067071
2024-12-15 21:30:00,29685819
2024-12-15 21:40:00,29343799
2024-12-15 21:50:00,28986948
2024-12-15 22:00:00,28644242
2024-12-15 22:10:00,28193976
2024-12-15 22:20:00,27840475
2024-12-15 22:30:00,27491048
2024-12-15 22:40:00,27122869
2024-12-15 22:50:00,26805215
2024-12-15 23:00:00,26451541
2024-12-15 23:10:00,26116653
2024-12-15 23:20:00,25815190
2024-12-15 23:30:00,25558805
2024-12-15 23:40:00,25341316
2024-12-15 23:50:00,25147001
2024-12-16 00:00:00,24962327
2024-12-16 00:10:00,24910243
2024-12-16 00:20:00,24831756
2024-12-16 00:30:00,24782580
2024-12-16 00:40:00,24777476
2024-12-16 00:50:00,24779607
2024-12-16 01:00:00,24808394
2024-12-16 01:10:00,24836969
2024-12-16 01:20:00,24873543
2024-12-16 01:30:00,24910016
2024-12-16 01:40:00,24954483
2024-12-16 01:50:00,24995898
2024-12-16 02:00:00,25033535
2024-12-16 02:10:00,25083346
2024-12-16 02:20:00,25136957
2024-12-16 02:30:00,25166224
2024-12-16 02:40:00,25171824
2024-12-16 02:50:00,25173974
2024-12-16 03:00:00,25130139
2024-12-16 03:10:00,25038698
2024-12-16 03:20:00,24953883
2024-12-16 03:30:00,24902941
2024-12-16 03:40:00,24812134
2024-12-16 03:50:00,24780092
2024-12-16 04:00:00,24783381
2024-12-16 04:10:00,24835755
2024-12-16 04:20:00,24923236
2024-12-16 04:30:00,24957374
2024-12-16 04:40:00,24970715
2024-12-16 04:50:00,24928954
2024-12-16 05:00:00,24797686
2024-12-16 05:10:00,24624013
2024-12-16 05:20:00,24453949
2024-12-16 05:30:00,24303318
2024-12-16 05:40:00,24155826
2024-12-16 05:50:00,23987994
2024-12-16 06:00:00,23893679
2024-12-16 06:10:00,23815879
2024-12-16 06:20:00,23757053
2024-12-16 06:30:00,23716691
2024-12-16 06:40:00,23716293
2024-12-16 06:50:00,23713483
2024-12-16 07:00:00,23727608
2024-12-16 07:10:00,23765974
2024-12-16 07:20:00,23835503
2024-12-16 07:30:00,23910795
2024-12-16 07:40:00,24006017
2024-12-16 07:50:00,24137462
2024-12-16 08:00:00,24302653
2024-12-16 08:10:00,24429497
2024-12-16 08:20:00,24591502
2024-12-16 08:30:00,24744599
2024-12-16 08:40:00,24876247
2024-12-16 08:50:00,25054718
2024-12-16 09:00:00,25207411
2024-12-16 09:10:00,25385884
2024-12-16 09:20:00,25571553
2024-12-16 09:30:00,25726857
2024-12-16 09:40:00,25972727
2024-12-16 09:50:00,26082210
